idResultat,idTest,idEleve,note
17620530,FRAProust,17620530,53FRALaFontaine17620530,FRALaFontaine,17620530,33HISpremiereGuerreMondiale17620530,HISpremiereGuerreMondiale,17620530,95HIScrise192917620530,HIScrise1929,17620530,19HISrelationsFrancoAllemandes17620530,HISrelationsFrancoAllemandes,17620530,72
HISRoosevelt17620530,HISRoosevelt,17620530,69
SNTBDR17620530,SNTBDR,17620530,20
SNTWeb17620530,SNTWeb,17620530,5
SNTInternet17620530,SNTInternet,17620530,40
SNTPhotoNumerique17620530,SNTPhotoNumerique,17620530,42
SNTGeolocalisation17620530,SNTGeolocalisation,17620530,90
SVTproperty17620530,SVTproperty,17620530,18
SVTderive_des_continents17620530,SVTderive_des_continents,17620530,72
SVTchampignons17620530,SVTchampignons,17620530,36
SVTreproduction17620530,SVTreproduction,17620530,58
PHYgravite17620530,PHYgravite,17620530,60
PHYmouvements17620530,PHYmouvements,17620530,67PHYelectricite17620530,PHYelectricite,17620530,3
PHYmagnetisme17620530,PHYmagnetisme,17620530,57
MATvecteurs17620531,MATvecteurs,17620531,97
MATequations17620531,MATequations,17620531,63MATgeometrie17620531,MATgeometrie,17620531,100
MATreperes17620531,MATreperes,17620531,98
MATcalculs17620531,MATcalculs,17620531,88
FRAroman17620531,FRAroman,17620531,16
FRAtheatre17620531,FRAtheatre,17620531,55FRAcomedie17620531,FRAcomedie,17620531,12
FRABaudelaire17620531,FRABaudelaire,17620531,51
FRAProust17620531,FRAProust,17620531,41FRALaFontaine17620531,FRALaFontaine,17620531,72
HISpremiereGuerreMondiale17620531,HISpremiereGuerreMondiale,17620531,26

HIScrise192917620531,HIScrise1929,17620531,45
HISrelationsFrancoAllemandes17620531,HISrelationsFrancoAllemandes,17620531,90
HISRoosevelt17620531,HISRoosevelt,17620531,80
SNTBDR17620531,SNTBDR,17620531,80
SNTWeb17620531,SNTWeb,17620531,66
SNTInternet17620531,SNTInternet,17620531,88
SNTPhotoNumerique17620531,SNTPho
toNumerique,17620531,53
SNTGeolocalisation17620531,SNTGeolocalisation,17620531,47
SVTproperty17620531,SVTproperty,17620531,37
SVTderive_des_continents17620531,SVTderive_des_continents,17620531,57
SVTchampignons17620531,SVTchampignons,17620531,60
SVTreproduction17620531,SVTreproduction,17620531,87PHYgravite17620531,PHYgravite,17620531,76
PHYmouvements17620531,PHYmouvements,17620531,7
PHYelectricite17620531,PHYelectricite,17620531,9
PHYmagnetisme17620531,PHYmagnetisme,17620531,90MATvecteurs17620532,MATvecteurs,17620532,71
MATequations17620532,MATequations,17620532,8
MATgeometrie17620532,MATgeometrie,17620532,79
MATreperes17620532,MATreperes,17620532,8
MATcalculs17620532,MATcalculs,17620532,2FRAroman17620532,FRAroman,17620532,66
FRAtheatre17620532,FRAtheatre,17620532,4
FRAcomedie17620532,FRAcomedie,17620532,37
FRABaudelaire17620532,FRABaudelaire,17620532,85
FRAProust17620532,FRAProust,17620532,48FRALaFontaine17620532,FRALaFontaine,17620532,64
HISpremiereGuerreMondiale17620532,HISpremiereGuerreMondiale,17620532,60
HIScrise192917620532,HIScrise1929,17620532,20
HISrelationsFrancoAllemandes17620532,HISrelationsFrancoAllemandes,17620532,66
HISRoosevelt17620532,HISRoosevelt,17620532,62
SNTBDR17620532,SNTBDR,17620532,6SNTWeb17620532,SNTWeb,17620532,100
SNTInternet17620532,SNTInternet,17620532,26
SNTPhotoNumerique17620532,SNTPhotoNumerique,17620532,36
SNTGeolocalisation17620532,SNTGeolocalisation,17620532,92
SVTproperty17620532,SVTproperty,17620532,16
SVTderive_des_continents17620532,SVTderive_des_continents,17620532,65
SVTchampignons17620532,SVTchampignons,17620532,3
SVTreproduction17620532,SVTreproduction,17620532,95
PHYgravite17620532,PHYgravite,17620532,52
PHYmouvements17620532,PHYmouvements,17620532,30
PHelectricite17620532,PHYelectricite,17620532,59
PHYmagnetisme17620532,PHYmagnetisme,17620532,82
MATvecteurs17620533,MATvecteurs,17620533,21
MATequations17620533,MATequations,17620533,57
MATgeometrie17620533,MATgeometrie,17620533,9
MATreperes17620533,MATreperes,17620533,88
MATcalculs17620533,MATcalculs,17620533,12
FRAroman17620533,FRAroman,17620533,71
FRAtheatre17620533,FRAtheatre,17620533,8
FRAcomedie17620533,FRAcomedie,17620533,42
FRABaudelaire17620533,FRABaudelaire,17620533,64
FRAProust17620533,FRAProust,17620533,92
FRALaFontaine17620533,FRALaFontaine,17620533,41
HISpremiereGuerreMondiale17620533,HISpremiereGuerreMondiale,17620533,66
HIScrise192917620533,HIScrise1929,17620533,3
HISrelationsFrancoAllemandes17620533,HISrelationsFrancoAllemandes,17620533,99
HISRoosevelt17620533,HISRoosevelt,17620533,91
SNTBDR17620533,SNTBDR,17620533,15SNTWeb17620533,SNTWeb,17620533,74
SNTInternet17620533,SNTInternet,17620533,36
SNTPhotoNumerique17620533,SNTPhotoNumerique,17620533,20
SNTGeolocalisation17620533,SNTGeolocalisation,17620533,56
SVTproperty17620533,SVTproperty,17620533,69
SVTderive_des_continents17620533,SVTderive_des_continents,17620533,39
SVTchampignons17620533,SVTchampignons,17620533,27
SVTreproduction17620533,SVTreproduction,17620533,59
PHYgravite17620533,PHYgravite,17620533,52
PHYmouvements17620533,PHYmouvements,17620533,45
PHYelectricite17620533,PHYelectricite,17620533,9
PHYmagnetisme17620533,PHYmagnetisme,17620533,42MATvecteurs17620534,MATvecteurs,17620534,88
MATequations17620534,MATequations,17620534,56
MATgeometrie17620534,MATgeometrie,17620534,53MATreperes17620534,MATreperes,17620534,67
MATcalculs17620534,MATcalculs,17620534,6
FRAroman17620534,FRAroman,17620534,10
FRAtheatre17620534,FRAtheatre,17620534,24
FRAcomedie17620534,FRAcomedie,17620534,96
FRABaudelaire17620534,FRABaudelaire,17620534,59
FRAProust17620534,FRAProust,17620534,30
FRALaFontaine17620534,FRALaFontaine,17620534,19
HISpremiereGuerreMondiale17620534,HISpremiereGuerreMondiale,17620534,71
HIScrise192917620534,HIScrise1929,17620534,78
HISrelationsFrancoAllemandes17620534,HISrelationsFrancoAllemandes,17620534,88
HISRoosevelt17620534,HISRoosevelt,17620534,30
SNTBDR17620534,SNTBDR,17620534,25SNTWeb17620534,SNTWeb,17620534,9
SNTInternet17620534,SNTInternet,17620534,93
SNTPhotoNumerique17620534,SNTPhotoNumerique,17620534,10
SNTGeolocalisation17620534,SNTGeolocalisation,17620534,77
SVTproperty17620534,SVTproperty,17620534,58
SVTderive_des_continents17620534,SVTderive_des_continents,17620534,78
SVTchampignons17620534,SVTchampignons,17620534,51
SVTreproduction17620534,SVTreproduction,17620534,81
PHYgravite17620534,PHYgravite,17620534,33
PHYmouvements17620534,PHYmouvements,17620534,22
PHYelectricite17620534,PHYelectricite,17620534,20
PHYmagnetisme17620534,PHYmagnetisme,17620534,40
